"","PortVict_resistant","PortVict_susceptible","Siaya_susceptible","Siaya_resistant"
"AFUN000052",1642.80980144376,2931.7889164078,2511.29321385057,1674.9102866523
"AFUN000053",17.36801406999,16.6492917297294,53.9234739170368,11.8284624763581
"AFUN000054",0,9.08143185257967,26.1914016168465,0
"AFUN000055",3012.83961720004,4221.35223947412,5385.41437362863,4031.92857610791
"AFUN000057",16.34636618352,66.5971669189176,80.8852108755552,27.5997457781688
"AFUN000058",11822.5093422309,23028.9976061666,13170.4233365654,15015.838831654
"AFUN000060",95.0132534417102,59.0293070417679,51.6124678920209,55.9880557214281
"AFUN000061",31.6710844805701,175.574349149874,78.5742048505393,41.7939007497985
"AFUN000062",8.17318309176002,210.386504584762,46.2201205003173,26.8111816130783
"AFUN000071",314.667549032761,346.607982373457,197.976182809692,281.517406937322
"AFUN000077",4689.36379889731,6694.52884732665,5652.7207371888,4204.62412826274
"AFUN000078",588.469182606721,428.340869046674,586.225195012357,598.520201303717
"AFUN000079",211.481112499291,127.140045936115,88.5885642922748,126.170266414486
"AFUN000080",2289.51291357928,1599.84557802945,1717.84781192846,2043.16975174958
"AFUN000081",382.096309539781,388.987997685496,218.775237034835,253.129096994062
"AFUN000082",3584.96243362324,4262.21868281073,4494.13638331418,3038.33772809384
"AFUN000083",92.9699576687702,148.330053592135,126.334996034201,92.2620073155928
"AFUN000085",514.910534780881,326.931546692868,499.177301403426,331.985513503116
"AFUN000087",2292.57785723869,871.817457847648,1102.34987393257,1523.50596695492
"AFUN000088",887.812013342432,603.915218196548,526.909373703617,626.119947081886
"AFUN000089",403.550915155651,662.944525238316,382.086329469289,483.389833200499
"AFUN000090",263.585154709261,239.144372117931,147.904385601015,269.688944460964
"AFUN000091",125.66269003581,466.180168432423,108.617283175746,182.946886301005
"AFUN000092",146.09564776521,40.8664433366085,70.8708514338198,123.804573919214
"AFUN000093",2129.11419540349,1605.89986593117,1329.59879972579,1767.96085813298
"AFUN000095",281.974816665721,199.791500756753,174.095787217862,245.243455343157
"AFUN000096",41.8875633452701,93.8414624766566,58.5454859670685,76.4907240137821
"AFUN000097",1796.05698441426,1393.99978937098,2488.18315360041,1631.53925757232
"AFUN000098",209.437816726351,112.004326181816,151.756062309375,212.912324574445
"AFUN000099",58.2339295287901,45.4071592628983,23.8803955918306,48.8909782356133
"AFUN000100",19.41130984293,105.950038280096,33.894755033566,62.2965690421524
"AFUN000101",12.25977463764,39.3528713611786,79.3445401922113,42.582464914889
"AFUN000102",3.06494365941001,18.1628637051593,13.0957008084232,2.36569249527161
"AFUN000103",68.4504083934902,224.008652363632,119.401977959153,152.981448027564
"AFUN000104",110.33797173876,531.263763375911,171.784781192846,361.950951776556
"AFUN000105",163.4636618352,90.8143185257967,140.201032184296,167.964167164284
"AFUN000106",2766.62247656077,623.591653877137,2343.36010936609,2045.53544424485
"AFUN000107",18.38966195646,6.05428790171978,2.31100602501586,6.30851332072429
"AFUN000108",9.19483097823002,6.05428790171978,13.8660361500952,12.6170266414486
"AFUN000109",2493.84249087328,4876.72890483528,1974.36948070522,3296.19821007844
"AFUN000110",1469.12966074386,1138.20612552332,986.799572681774,1871.26276375984
"AFUN000111",513.888886894411,965.658920324305,489.162941961691,683.685131133495
"AFUN000114",272.779985687491,796.138859076151,869.708600747637,643.468358713878
"AFUN000117",2723.71326532903,3301.10047841271,3439.54730056528,2976.04115905169
"AFUN000118",71.5153520529002,255.793663847661,473.756235128252,158.501397183198
"AFUN000119",415.810689793291,484.343032137582,371.301634685882,277.574586111869
"AFUN000120",149.16059142462,108.977182230956,105.535941809058,75.7021598486915
"AFUN000121",117.48950694405,214.927220511052,79.3445401922113,125.381702249395
"AFUN000122",58.2339295287901,77.1921707469272,53.1531385753649,117.49606059849
